City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,wanaka,-44.7,169.15,68.11,77,99,3.0,NZ,1675202735
338,rocha,-34.4833,-54.3333,75.06,75,15,11.41,UY,1675202860
339,fairview,40.8126,-73.999,37.62,46,100,8.05,US,1675202840
340,malinovoye ozero,51.6753,79.7825,8.15,96,100,3.71,RU,1675202896
341,ambilobe,-13.2,49.05,74.59,94,72,1.74,MG,1675202896
342,camacha,33.0833,-16.3333,56.62,67,40,11.5,PT,1675202897
343,lagoa,39.05,-27.9833,56.64,70,92,12.28,PT,1675202897
344,nanortalik,60.1432,-45.2371,17.56,79,100,2.04,GL,1675202898
345,mbini,1.574,9.6134,79.11,76,44,2.01,GQ,1675202898
346,danielskuil,-28.1887,23.5395,67.44,63,100,0.89,ZA,1675202898
347,dhidhdhoo,6.8833,73.1,80.24,77,100,11.43,MV,1675202774
348,mildura,-34.2,142.15,63.07,69,33,15.73,AU,1675202899
349,dudinka,69.4058,86.1778,1.62,94,100,13.15,RU,1675202899
350,navalmoral de la mata,39.8916,-5.5406,43.95,74,0,1.9,ES,1675202900
351,nabire,-3.3667,135.4833,75.61,90,97,2.42,ID,1675202601
352,hauterive,46.0901,3.4459,39.96,93,100,2.15,FR,1675202900
353,casablanca,33.5928,-7.6192,57.33,71,47,4.0,MA,1675202901
354,arraial do cabo,-22.9661,-42.0278,80.56,78,0,24.16,BR,1675202711
355,tual,-5.6667,132.75,83.53,73,78,10.94,ID,1675202902
356,ruteng,-8.6136,120.4721,62.74,90,94,1.01,ID,1675202644
357,brownwood,31.7093,-98.9912,25.92,91,100,10.36,US,1675202902
358,the valley,18.217,-63.0578,77.83,67,5,16.26,AI,1675202902
359,belaya gora,68.5333,146.4167,-8.95,99,100,4.34,RU,1675202903
360,camacari,-12.6975,-38.3242,83.97,83,21,5.17,BR,1675202903
361,college,64.8569,-147.8028,19.8,85,100,5.75,US,1675202401
362,shar,49.5886,81.0453,12.81,81,100,10.36,KZ,1675202904
363,zyryanovsk,49.7386,84.2719,-2.11,96,100,0.51,KZ,1675202904
364,khairagarh,26.95,77.8167,50.22,65,0,7.67,IN,1675202905
